Taxon	max	min
Planocrania_hengdongensis	59.2	56
Planocrania_datangensis	61.6	59.2
Boverisuchus_magnifrons	47.8	41.2
Boverisuchus_vorax	56	37.8
Prodiplocynodon_langi	72.1	66
Crocodylus_affinis	56	47.8
Crocodylus_depressifrons	59.2	41.2
Asiatosuchus_grangeri	47.8	37.8
Crocodylus_acer	56	47.8
Brachyuranochampsa_eversolei	47.8	37.8
Kentisuchus_spenceri	56	47.8
Megadontosuchus_arduini	56	33.9
Dollosuchoides_densmorei	47.8	37.8
Gavialosuchus_eggenburgensis	20.44	15.97
Toyotamaphimeia_machikanensis	0.78	0.126
Tomistoma_lusitanica	23.03	7.24
Tomistoma_schlegelii	0.01	0.005
Thecachampsa_carolinensis	33.9	23.03
Thecachampsa_americana	27.82	13.82
Thecachampsa_antiqua	11.97	7.24
Penghusuchus_pani	11.63	5.33
Paratomistoma_courtii	41.2	37.8
Maomingosuchus_petrolica	37.8	33.9
Crocodylus_megarhinus	33.9	27.82
Kambara_implexidens	56	47.8
Trilophosuchus_rackhami	15.97	11.63
Australosuchus_clarkae	27.82	11.63
Mecistops_cataphractus	11.63	0.005
Crocodylus_porosus	5.33	0.005
Crocodylus_rhombifer	0.126	0.005
Crocodylus_niloticus	2.58	0.005
Rimasuchus_lloydi	23.03	5.33
Brochuchus_pigotti	23.03	15.97
Euthecodon_arambourgii	23.03	15.97
Voay_robustus	2.58	0.01
Osteolaemus_osborni	0.01	0.005
Osteolaemus_tetraspis	11.63	0.005
Leidyosuchus_canadensis	83.6	72.1
Diplocynodon_darwini	47.8	41.2
Diplocynodon_hantoniensis	37.8	33.9
Diplocynodon_ratelii	33.9	15.97
Navajosuchus_mooki	66	59.2
Ceratosuchus_burdoshi	56	47.8
Allognathosuchus_polyodon	56	47.8
Procaimanoidea_kayi	56	41.2
Arambourgia_gaudryi	41.2	33.9
Procaimanoidea_utahensis	47.8	37.8
Wannaganosuchus_brachymans	61.6	56
Alligator_prenasalis	41.2	33.9
Alligator_mcgrewi	23.03	15.97
Alligator_olseni	23.03	15.97
Alligator_sinensis	3.6	0.005
Alligator_thomsoni	23.03	15.97
Alligator_mefferdi	13.82	7.24
Alligator_mississippiensis	11.63	0.005
Albertochampsa_langstoni	83.6	72.1
Stangerochampsa_mccabei	72.1	66
Brachychampsa_sealeyi	83.6	72.1
Brachychampsa_montana	83.6	66
Eocaiman_cavernensis	47.8	37.8
Tsoabichi_greenriverensis	56	47.8
Paleosuchus_palpebrosus	0.01	0.005
Paleosuchus_trigonatus	0.01	0.005
Mourasuchus_amazonensis	11.63	7.24
Orthogenysuchus_olseni	56	47.8
Purussaurus_neivensis	15.97	11.63
Purussaurus_mirandai	11.63	5.33
Caiman_crocodilus	0.01	0.005
Caiman_yacare	11.63	0.005
Caiman_lutescens	15.97	11.63
Caiman_latirostris	11.63	0.005
Melanosuchus_niger	0.01	0.005
Melanosuchus_fisheri	11.63	5.33
Calsoyasuchus_valliceps	199.3	182.7
Lemmysuchus_obtusidens	166.1	157.3
Zosuchus_davidsoni	86.3	72.1
Vectisuchus_leptognathus	129.4	125
Crocodylus_palaeindicus	11.63	2.58
Steneosaurus_heberti	168.3	152.1
Aplestosuchus_sordidus	83.6	66
Tomistoma_cairense	47.8	41.3
Diplocynodon_deponiae	47.8	41.2
Piscogavialis_jugaliperforatus	11.63	5.33
Barreirosuchus_franciscoi	83.6	66
Peipehsuchus_teleorhinus	182.7	174.1
Purussaurus_brasiliensis	11.63	5.33
Torvoneustes_coryphaeus	157.3	145
Siquisiquesuchus_venezuelensis	23.03	15.97
Gryposuchus_pachakamue	15.97	5.33
Agaresuchus_fontisensis	83.6	66
Carnufex_carolinensis	237	227
Redondavenator_quayensis	227	208.5
Trialestes_romeri	237	227
Hallopus_victor	157.3	145
Macelognathus_vagans	157.3	145
Globidentosuchus_brachyrostris	11.63	5.33
Acresuchus_pachytemporalis	11.63	5.33
Aktiogavialis_caribesi	11.63	7.24
Allognathosuchus_wartheni	56	47.8
Amphicotylus_gilmorei	157.3	145
Anteophthalmosuchus_epikrator	129.4	122.98
Anteophthalmosuchus_escuchae	113	110.87
Argochampsa_krebsi	66	56
Asiatosuchus_germanicus	47.8	41.3
Barrosasuchus_neuquenianus	86.3	83.6
Baru_wickeni	27.82	23.03
Borealosuchus_griffithi	66	61.6
Bottosaurus_harlani	69.91	65.25
Caiman_wannlangstoni	13.82	5.33
Caipirasuchus_mineirus	83.6	66
Caririsuchus_camposi	113	110.87
Coloradisuchus_abelini	227	213
Cricosaurus_BMM	152.1	145
Crocodylus_acutus	2.58	0.005
Crocodylus_checchiai	11.63	5.33
Crocodylus_gariepensis	23.03	15.97
Crocodylus_intermedius	0.01	0.005
Crocodylus_johnstoni	2.58	0.005
Crocodylus_mindorensis	0.01	0.005
Crocodylus_moreletii	0.126	0.005
Crocodylus_novaeguinea	0.01	0.005
Crocodylus_palustris	0.126	0.005
Crocodylus_siamensis	2.58	0.005
Crocodylus_thorbjarnarsoni	5.33	1.81
Deinosuchus_riograndensis	83.6	72.1
Deslongchampsina_larteti	168.3	166.1
Diplocynodon_muelleri	33.9	28.1
Diplocynodon_remensis	59.2	56
Doratodon_carcharidens	86.3	80.97
Eocaiman_palaeocenicus	66	61.6
Euthecodon_brumpti	11.63	0.78
Euthecodon_nitriae	5.33	3.6
Gnatusuchus_pebasensis	15.97	11.63
Gryposuchus_croizati	11.63	5.33
Gryposuchus_neogaeus	11.63	7.25
Hadongsuchus_acerdentis	132.9	125
Hassiacosuchus_haupti	48.6	40.4
Hulkepholis_willetti	136.4	132.9
Indosinosuchus_potamosiamensis	174.1	145
Jiangxisuchus_nankangensis	72.1	66
Kalthifrons_aurivellensis	5.33	3.6
Kambara_molnari	47.8	33.9
Kambara_taraina	47.8	33.9
Kayenta_form	199.3	190.8
Koumpiodontosuchus_aprosdokiti	129.4	125
Krabisuchus_siamogallicus	37.8	33.9
Kuttanacaiman_iquitosensis	15.97	11.63
Kyasuchus_saevi	129.4	113
Laganosuchus_thaumastos	100.5	93.9
Machimosaurus_buffetauti	157.3	152.1
Maledictosuchus_riclaensis	166.1	163.5
Maomingosuchus_sp	37.8	28.1
Mariliasuchus_robustus	83.6	66
Maroccosuchus_zennaroi	56	47.8
Mekosuchus_inexpectatus	0.01	0.005
Mekosuchus_whitehunterensis	27.82	23.03
Montsecosuchus_depereti	129.4	125
Mourasuchus_arendsi	11.63	5.33
Mourasuchus_atopus	15.97	5.33
Mourasuchus_pattersoni	11.63	5.33
Mourasuchus_sp	11.63	5.33
Musturzabalsuchus_buffetauti	83.6	72.1
Mystriosaurus_laurillardi	182.7	180.36
Oceanosuchus_boecensis	100.5	93.9
Paluxysuchus_newmani	125	113
Sabinosuchus_coahuilensis	72.1	66
Sahitisuchus_fluminensis	61.6	56
Steneosaurus_gracilirostris	182.7	174.1
Stomatosuchus_inermis	100.5	93.9
Suchodus_durobrivensis	166.1	163.5
Terminonaris_browni	93.9	89.8
Theriosuchus_morrisonensis	157.3	145
Tomistoma_coppensi	5.33	2.58
